,id,studentID,task_id,query,result_id,result_url,score,content
39,89,2016310023,7,戒烟的副作用,rb_0,http://www.ew9z.com/jieyandefuzuoyong.html,3,TIMESTAMP=1513045473406	USER=2016310023	TASK=7	QUERY=戒烟的副作用	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://www.ew9z.com/jieyandefuzuoyong.html	score=3
40,90,2016310023,7,戒烟的副作用,rb_5,http://zhongyi.xbxys.com/html/93127.shtml,4,TIMESTAMP=1513045473406	USER=2016310023	TASK=7	QUERY=戒烟的副作用	ACTION=ANNOTATION	INFO:	id=rb_5	src=http://zhongyi.xbxys.com/html/93127.shtml	score=4
41,91,2016310023,7,戒烟的副作用,rb_8,http://www.360doc.com/content/10/1020/02/4035090_62345595.shtml,1,TIMESTAMP=1513045473406	USER=2016310023	TASK=7	QUERY=戒烟的副作用	ACTION=ANNOTATION	INFO:	id=rb_8	src=http://www.360doc.com/content/10/1020/02/4035090_62345595.shtml	score=1
42,92,2017213705,10,港版iphone是否支持国内运营商网络,rb_0,http://ask.zol.com.cn/q/1759367.html,1,TIMESTAMP=1513045522557	USER=2017213705	TASK=10	QUERY=港版iphone是否支持国内运营商网络	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://ask.zol.com.cn/q/1759367.html	score=1
43,93,2017213705,10,港版iphone是否支持国内运营商网络,rb_1,http://tech.sina.com.cn/t/2014-09-02/18159591014.shtml?wb_uid=&wb_mid=3750498504635788,4,TIMESTAMP=1513045522557	USER=2017213705	TASK=10	QUERY=港版iphone是否支持国内运营商网络	ACTION=ANNOTATION	INFO:	id=rb_1	src=http://tech.sina.com.cn/t/2014-09-02/18159591014.shtml?wb_uid=&wb_mid=3750498504635788	score=4
44,94,2017213705,10,港版iphone是否支持国内运营商网络,rb_2,http://club.huawei.com/thread-1184250-1-1.html,1,TIMESTAMP=1513045522557	USER=2017213705	TASK=10	QUERY=港版iphone是否支持国内运营商网络	ACTION=ANNOTATION	INFO:	id=rb_2	src=http://club.huawei.com/thread-1184250-1-1.html	score=1
45,95,2017213705,10,港版iphone是否支持国内运营商网络,rb_5,http://www.oneplusbbs.com/thread-488540-1-1.html,1,TIMESTAMP=1513045522557	USER=2017213705	TASK=10	QUERY=港版iphone是否支持国内运营商网络	ACTION=ANNOTATION	INFO:	id=rb_5	src=http://www.oneplusbbs.com/thread-488540-1-1.html	score=1
46,96,2016310023,7,戒烟的方法,rb_2,http://www.jieyanri.com/jieyan/20160413093745.html,4,TIMESTAMP=1513045608926	USER=2016310023	TASK=7	QUERY=戒烟的方法	ACTION=ANNOTATION	INFO:	id=rb_2	src=http://www.jieyanri.com/jieyan/20160413093745.html	score=4
47,97,2016310023,7,戒烟的方法,rb_3,http://www.39yst.com/zhuanti/jieyan/,2,TIMESTAMP=1513045608926	USER=2016310023	TASK=7	QUERY=戒烟的方法	ACTION=ANNOTATION	INFO:	id=rb_3	src=http://www.39yst.com/zhuanti/jieyan/	score=2
48,98,2016310023,7,戒烟的方法,rb_2,http://www.jieyanri.com/jieyan/20160413093745.html,4,TIMESTAMP=1513045633132	USER=2016310023	TASK=7	QUERY=戒烟的方法	ACTION=ANNOTATION	INFO:	id=rb_2	src=http://www.jieyanri.com/jieyan/20160413093745.html	score=4
49,99,2016310023,7,戒烟的方法,rb_3,http://www.39yst.com/zhuanti/jieyan/,2,TIMESTAMP=1513045633132	USER=2016310023	TASK=7	QUERY=戒烟的方法	ACTION=ANNOTATION	INFO:	id=rb_3	src=http://www.39yst.com/zhuanti/jieyan/	score=2
50,100,2017213705,10,港版iphone6是否支持国内运营商网络,rb_4,http://it.southcn.com/9/2014-09/10/content_108185622.htm,1,TIMESTAMP=1513045689510	USER=2017213705	TASK=10	QUERY=港版iphone6是否支持国内运营商网络	ACTION=ANNOTATION	INFO:	id=rb_4	src=http://it.southcn.com/9/2014-09/10/content_108185622.htm	score=1
51,101,2017213705,10,港版iphone6是否支持国内运营商网络,rb_5,http://www.xcar.com.cn/bbs/viewthread.php?tid=21544305,1,TIMESTAMP=1513045689510	USER=2017213705	TASK=10	QUERY=港版iphone6是否支持国内运营商网络	ACTION=ANNOTATION	INFO:	id=rb_5	src=http://www.xcar.com.cn/bbs/viewthread.php?tid=21544305	score=1
52,102,2017213705,10,港版iphone6是否支持国内运营商网络,rb_7,http://www.to8to.com/ask/k2662712.html,4,TIMESTAMP=1513045689510	USER=2017213705	TASK=10	QUERY=港版iphone6是否支持国内运营商网络	ACTION=ANNOTATION	INFO:	id=rb_7	src=http://www.to8to.com/ask/k2662712.html	score=4
53,103,2017213705,3, 清华 死飞,rb_0,http://bj.58.com/qinghuadaxue/changdizixingche/1/,1,TIMESTAMP=1513045938512	USER=2017213705	TASK=3	QUERY= 清华 死飞	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://bj.58.com/qinghuadaxue/changdizixingche/1/	score=1
54,104,2016310023,1, 破冰游戏的玩法,rb_2,http://ceba5.com/youxi/tuandui/20113849.html,4,TIMESTAMP=1513046075336	USER=2016310023	TASK=1	QUERY= 破冰游戏的玩法	ACTION=ANNOTATION	INFO:	id=rb_2	src=http://ceba5.com/youxi/tuandui/20113849.html	score=4
55,105,2016310023,1, 破冰游戏的玩法,rb_3,http://www.unjs.com/zuixinxiaoxi/ziliao/20160601000000_1302023.html,4,TIMESTAMP=1513046075336	USER=2016310023	TASK=1	QUERY= 破冰游戏的玩法	ACTION=ANNOTATION	INFO:	id=rb_3	src=http://www.unjs.com/zuixinxiaoxi/ziliao/20160601000000_1302023.html	score=4
56,106,2016310023,1, 破冰游戏的玩法,rb_5,http://www.bdstar.org/Article/Class52/Class54/yxbd/200611/3766.html,4,TIMESTAMP=1513046075336	USER=2016310023	TASK=1	QUERY= 破冰游戏的玩法	ACTION=ANNOTATION	INFO:	id=rb_5	src=http://www.bdstar.org/Article/Class52/Class54/yxbd/200611/3766.html	score=4
57,107,2017213705,3,清华附近自行车,rb_0,http://poi.mapbar.com/beijing/MAPAJAFOTNYRZAJMHPFOZRZ,1,TIMESTAMP=1513046041647	USER=2017213705	TASK=3	QUERY=清华附近自行车	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://poi.mapbar.com/beijing/MAPAJAFOTNYRZAJMHPFOZRZ	score=1
58,108,2017213705,3,淘宝死飞,rb_0,http://fixedgearbike.taobao.com/,3,TIMESTAMP=1513046171605	USER=2017213705	TASK=3	QUERY=淘宝死飞	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://fixedgearbike.taobao.com/	score=3
59,109,2017213705,3,淘宝死飞,rb_1,https://www.zhihu.com/question/46593251/answer/128984777,1,TIMESTAMP=1513046171605	USER=2017213705	TASK=3	QUERY=淘宝死飞	ACTION=ANNOTATION	INFO:	id=rb_1	src=https://www.zhihu.com/question/46593251/answer/128984777	score=1
60,110,2017213705,3,买死飞注意事项,rb_0,http://bbs.tianya.cn/post-no11-4567510-1.shtml,3,TIMESTAMP=1513046300857	USER=2017213705	TASK=3	QUERY=买死飞注意事项	ACTION=ANNOTATION	INFO:	id=rb_0	src=http://bbs.tianya.cn/post-no11-4567510-1.shtml	score=3
61,111,2017213705,3,买死飞注意事项,rb_1,http://baike.1688.com/doc/view-d42080371.html,3,TIMESTAMP=1513046300857	USER=2017213705	TASK=3	QUERY=买死飞注意事项	ACTION=ANNOTATION	INFO:	id=rb_1	src=http://baike.1688.com/doc/view-d42080371.html	score=3
62,112,2017213705,3,买死飞注意事项,rb_2,http://www.marmotbike.cn/page192?article_id=156,1,TIMESTAMP=1513046300857	USER=2017213705	TASK=3	QUERY=买死飞注意事项	ACTION=ANNOTATION	INFO:	id=rb_2	src=http://www.marmotbike.cn/page192?article_id=156	score=1
63,113,2017213705,3,买死飞注意事项,rb_4,https://www.lookmw.cn/doc/luzbii.html,1,TIMESTAMP=1513046300857	USER=2017213705	TASK=3	QUERY=买死飞注意事项	ACTION=ANNOTATION	INFO:	id=rb_4	src=https://www.lookmw.cn/doc/luzbii.html	score=1
64,114,2017213705,3,买死飞注意事项,rb_8,http://www.zixingche.me/,1,TIMESTAMP=1513046300857	USER=2017213705	TASK=3	QUERY=买死飞注意事项	ACTION=ANNOTATION	INFO:	id=rb_8	src=http://www.zixingche.me/	score=1
