,target,score_session_ave,score_session_sum,query_dwell_time_session_sum,clicked_doc_count_session_sum,session_len,score_session_ave,score_session_sum,score_session_peak,score_session_end,query_dwell_time_session_sum,clicked_doc_count_session_sum,session_len
19,0,-0.9375000000000002,-0.6666666666666666,-0.23762507148122317,0.0,-0.5,-0.9375000000000002,-0.6666666666666666,-2.0,-0.5,-0.23762507148122317,0.0,-0.5
20,1,-1.1875000000000004,1.6666666666666667,1.8907039702241453,0.5714285714285714,4.5,-1.1875000000000004,1.6666666666666667,0.0,0.0,1.8907039702241453,0.5714285714285714,4.5
21,1,-0.9375000000000002,-0.6666666666666666,-0.7222892502156832,-0.42857142857142855,-0.5,-0.9375000000000002,-0.6666666666666666,-1.0,0.0,-0.7222892502156832,-0.42857142857142855,-0.5
22,1,0.18750000000000006,-0.7777777777777778,-0.40384825156101767,0.0,-1.0,0.18750000000000006,-0.7777777777777778,-1.0,0.0,-0.40384825156101767,0.0,-1.0
23,2,0.9375000000000002,0.4444444444444444,0.3337288903139224,-0.42857142857142855,0.0,0.9375000000000002,0.4444444444444444,0.0,0.5,0.3337288903139224,-0.42857142857142855,0.0
24,2,0.9375000000000002,-0.6666666666666666,-0.36011331220023335,0.14285714285714285,-1.0,0.9375000000000002,-0.6666666666666666,0.0,0.5,-0.36011331220023335,0.14285714285714285,-1.0
25,2,0.9375000000000002,-0.6666666666666666,-0.9169098956456779,-0.7142857142857143,-1.0,0.9375000000000002,-0.6666666666666666,0.0,0.5,-0.9169098956456779,-0.7142857142857143,-1.0
26,2,0.9375000000000002,0.4444444444444444,-0.5128930640901473,-0.42857142857142855,0.0,0.9375000000000002,0.4444444444444444,0.0,0.5,-0.5128930640901473,-0.42857142857142855,0.0
27,0,0.18750000000000006,-0.7777777777777778,0.5851808268352907,-0.42857142857142855,-1.0,0.18750000000000006,-0.7777777777777778,-1.0,0.0,0.5851808268352907,-0.42857142857142855,-1.0
28,0,-1.1875000000000004,0.2222222222222222,1.2086293124250067,0.0,1.5,-1.1875000000000004,0.2222222222222222,-1.0,0.0,1.2086293124250067,0.0,1.5
29,0,-1.1625,0.0,0.2315991630499096,0.14285714285714285,1.0,-1.1625,0.0,-2.0,-1.0,0.2315991630499096,0.14285714285714285,1.0
30,2,0.6875000000000003,1.8888888888888888,0.6279703960307675,1.1428571428571428,1.5,0.6875000000000003,1.8888888888888888,0.0,0.5,0.6279703960307675,1.1428571428571428,1.5
31,2,0.9375000000000002,0.4444444444444444,-0.7128388540526961,0.42857142857142855,0.0,0.9375000000000002,0.4444444444444444,0.0,0.5,-0.7128388540526961,0.42857142857142855,0.0
